INVESTPREV	SEGURADORA	S/A	Balancete	Contábil	Analítico	01/02/2020	a	29/02/2020	Folha:	1				
42.366.302/0001-28	Emissão:	16/03/2020												
														
Conta	Reduzido	Descrição	Anterior	Débitos	Créditos	Movimento	Saldo	Atual						
========================================================================================================================================================================														
1	100001	ATIVO	227.930.967,45	134.694.851,26	-140.442.096,11	-5.747.244,85	222.183.722,60							
														
1.1	100010	CIRCULANTE	106.095.645,41	107.594.069,73	-113.927.277,92	-6.333.208,19	99.762.437,22							
														
1.1.1	100020	DISPONIVEL	2.057.715,41	67.770.164,29	-69.764.224,00	-1.994.059,71	63.655,70							
														
1.1.1.1	100039	CAIXA	5.892,17	5.345,14	-3.650,93	1.694,21	7.586,38							
1.1.1.1.1	103866	CAIXA	2.342,34	657,66	-840,43	-182,77	2.159,57							
1.1.1.1.2	708	CAIXA	-	SP	3.549,83	4.687,48	-2.810,50	1.876,98	5.426,81					
														
1.1.1.3	100057	BANCOS	CONTA	DEPOSITOS	2.051.823,24	67.764.819,15	-69.760.573,07	-1.995.753,92	56.069,32					
														
1.1.1.3.1	100066	BANCOS	CONTA	DEP	MOVIMENTO	-	PAIS	2.051.823,24	67.764.819,15	-69.760.573,07	-1.995.753,92	56.069,32		
														
1.1.1.3.1.0	19	BANCOS	CONTA	DEP	MOVIMENTO	-	PAIS	2.051.823,24	67.764.819,15	-69.760.573,07	-1.995.753,92	56.069,32		
														
1.1.1.3.1.0.0	20	BANCOS	CONTA	DEP	MOVIMENTO	-	PAIS	2.051.823,24	67.764.819,15	-69.760.573,07	-1.995.753,92	56.069,32		
														
1.1.1.3.1.0.0.0	21	BANCOS	CONTA	DEP	MOVIMENTO	-	PAIS	2.051.823,24	67.764.819,15	-69.760.573,07	-1.995.753,92	56.069,32		
														
1.1.1.3.1.0.0.0.0	65001	BANCOS	CONTA	DEP	MOVIMENTO	-	PAIS	2.051.823,24	67.764.819,15	-69.760.573,07	-1.995.753,92	56.069,32		
														
1.1.1.3.1.0.0.0.0.0	65002	BANCOS	CONTA	DEP	MOVIMENTO	-	PAIS	2.051.823,24	67.764.819,15	-69.760.573,07	-1.995.753,92	56.069,32		
1.1.1.3.1.0.0.0.0.0.0019	1	BANRISUL	AG.0100	C/C.06.318559.0-3	24.434,50	750.134,76	-769.923,21	-19.788,45	4.646,05					
1.1.1.3.1.0.0.0.0.0.0024	646	BANCO	MAXIMA	ag.	1	C/C	107091-8	2.008.954,59	48.829.282,78	-50.831.092,76	-2.001.809,98	7.144,61		
1.1.1.3.1.0.0.0.0.0.0026	670	CEF	AG.	3152	CTA	3	00002855-0	1.214,58	169	-1.369,00	-1.200,00	14,58		
1.1.1.3.1.0.0.0.0.0.0027	710	BCO	BRADESCO	AG	3391	C/C	0022.598-3	15.646,03	16.478.861,00	-16.450.902,79	27.958,21	43.604,24		
1.1.1.3.1.0.0.0.0.0.0028	711	BCO	BRADESCO	AG	3391	C/C	0022.599-1	956,55	1.635.379,08	-1.635.796,99	-417,91	538,64		
1.1.1.3.1.0.0.0.0.0.0029	712	BCO	BRADESCO	AG	3391	C/C	0322750-2	616,99	70.992,53	-71.488,32	-495,79	121,2		
														
1.1.2	100093	APLICACOES	41.678.757,80	20.109.185,92	-20.002.188,06	106.997,86	41.785.755,66							
														
1.1.2.6	111640	QUOTAS	DE	FUNDOS	DE	INVESTIMENTOS	41.175.370,18	20.048.183,66	-20.000.000,00	48.183,66	41.223.553,84			
														
1.1.2.6.2	125401	NAO	VINCULADOS	A	COBERT	DE	RESERVAS	41.175.370,18	20.048.183,66	-20.000.000,00	48.183,66	41.223.553,84		
														
1.1.2.6.2.2	659	QUOTAS	DE	OUTROS	FUNDOS	DE	INVESTIMENTO	41.175.370,18	20.048.183,66	-20.000.000,00	48.183,66	41.223.553,84		
														
1.1.2.6.2.2.1	660	VALOR	ORIGINAL	37.800.000,00	20.000.000,00	-20.000.000,00	0	37.800.000,00						
														
1.1.2.6.2.2.1.0	661	VALOR	ORIGINAL	37.800.000,00	20.000.000,00	-20.000.000,00	0	37.800.000,00						
														
1.1.2.6.2.2.1.0.0	662	VALOR	ORIGINAL	37.800.000,00	20.000.000,00	-20.000.000,00	0	37.800.000,00						
														
1.1.2.6.2.2.1.0.0.0	663	VALOR	ORIGINAL	37.800.000,00	20.000.000,00	-20.000.000,00	0	37.800.000,00						
1.1.2.6.2.2.1.0.0.0.0001	664	ARES	FUNDO	INVEST	MULTIMERCADO	37.800.000,00	20.000.000,00	-20.000.000,00	0	37.800.000,00				
1.1.2.6.2.2.2	665	AJUSTE	AO	VALOR	DE	MERCADO	3.375.370,18	48.183,66	0	48.183,66	3.423.553,84			
														
1.1.2.6.2.2.2.0	666	AJUSTE	AO	VALOR	DE	MERCADO	3.375.370,18	48.183,66	0	48.183,66	3.423.553,84			
														
1.1.2.6.2.2.2.0.0	667	AJUSTE	AO	VALOR	DE	MERCADO	3.375.370,18	48.183,66	0	48.183,66	3.423.553,84			
														
1.1.2.6.2.2.2.0.0.0	668	AJUSTE	AO	VALOR	DE	MERCADO	3.375.370,18	48.183,66	0	48.183,66	3.423.553,84			
1.1.2.6.2.2.2.0.0.0.0001	669	AJUSTE	AO	VLR	MERCADO	-	ARES	FUND	INVEST	3.375.370,18	48.183,66	0	48.183,66	3.423.553,84
														
1.1.2.8	125673	OUTRAS	APLICACOES	503.387,62	61.002,26	-2.188,06	58.814,20	562.201,82						
														
1.1.2.8.2	125736	NAO	VINCULADAS	A	COBERT	DE	RESERVAS	503.387,62	61.002,26	-2.188,06	58.814,20	562.201,82		
1.1.2.8.2.1	125745	RESSEGURAD	RETEN	REMUNER	PROV	SINIST	124.806,24	0	0	0	124.806,24			
														
1.1.2.8.2.8	125763	OUTRAS	APLICACOES	378.581,38	61.002,26	-2.188,06	58.814,20	437.395,58						
														
1.1.2.8.2.8.1	125772	VALOR	ORIGINAL	378.581,38	61.002,26	-2.188,06	58.814,20	437.395,58						
														
1.1.2.8.2.8.1.0	281	VALOR	ORIGINAL	378.581,38	61.002,26	-2.188,06	58.814,20	437.395,58						
														
1.1.2.8.2.8.1.0.0	282	VALOR	ORIGINAL	378.581,38	61.002,26	-2.188,06	58.814,20	437.395,58						
														
1.1.2.8.2.8.1.0.0.0	283	VALOR	ORIGINAL	378.581,38	61.002,26	-2.188,06	58.814,20	437.395,58						
1.1.2.8.2.8.1.0.0.0.0001	284	INVEST	CAP-TITULOS	CAP	ALUGUEL	PR	28.006,15	126,03	0	126,03	28.132,18			
1.1.2.8.2.8.1.0.0.0.0002	687	INVEST	CAP-TITULOS	CAP	ALUGUEL	RS	237.729,06	1.069,78	0	1.069,78	238.798,84			
1.1.2.8.2.8.1.0.0.0.0003	697	APLICAÇAO	CEF	CTA	2855-0	41.576,49	62,09	-169,16	-107,07	41.469,42				
1.1.2.8.2.8.1.0.0.0.0004	706	INVEST	CAP	-	TITULOS	CAP	ALUGUEL	SP	71.269,68	59.719,88	-2.014,19	57.705,69	128.975,37	
1.1.2.8.2.8.1.0.0.0.0005	754	INVEST	CAP	-	SEGMENTO	PREMIADO	0	24,48	-4,71	19,77	19,77			
														
1.1.3	100354	CREDITOS	DAS	OPERACOES	32.317.663,56	17.948.036,62	-22.196.785,20	-4.248.748,58	28.068.914,98					
														
1.1.3.1	100363	PREMIOS	A	RECEBER	27.001.994,55	14.531.950,68	-16.034.152,65	-1.502.201,97	25.499.792,58					
														
1.1.3.1.1	100372	DIRETO	27.517.919,52	12.579.036,56	-12.768.931,98	-189.895,42	27.328.024,10							
1.1.3.1.1.1	100381	PREMIOS	RISCOS	VIGENTES	EMITIDOS	27.572.914,65	12.569.919,36	-12.766.633,06	-196.713,70	27.376.200,95				
1.1.3.1.1.3	361	JUROS	A	APROPRIAR	-54.995,13	9.117,20	-2.298,92	6.818,28	-48.176,85					
1.1.3.1.5	120816	PREMIOS	-	RISCOS	VIGENTES	NAO	EMITIDOS	1.347.664,37	89.324,78	-403.293,03	-313.968,25	1.033.696,12		
														
1.1.3.1.9	120818	REDUCAO	AO	VALOR	RECUPERAVEL	-1.863.589,34	1.863.589,34	-2.861.927,64	-998.338,30	-2.861.927,64				
														
1.1.3.1.9.0	49307	REDUCAO	AO	VALOR	RECUPERAVEL	-1.863.589,34	1.863.589,34	-2.861.927,64	-998.338,30	-2.861.927,64				
														
1.1.3.1.9.0.0	49312	REDUCAO	AO	VALOR	RECUPERAVEL	-1.863.589,34	1.863.589,34	-2.861.927,64	-998.338,30	-2.861.927,64				
														
1.1.3.1.9.0.0.0	49327	REDUCAO	AO	VALOR	RECUPERAVEL	-1.863.589,34	1.863.589,34	-2.861.927,64	-998.338,30	-2.861.927,64				
														
1.1.3.1.9.0.0.0.0	65027	REDUCAO	AO	VALOR	RECUPERAVEL	-1.863.589,34	1.863.589,34	-2.861.927,64	-998.338,30	-2.861.927,64				
														
1.1.3.1.9.0.0.0.0.0	65028	REDUCAO	AO	VALOR	RECUPERAVEL	-1.863.589,34	1.863.589,34	-2.861.927,64	-998.338,30	-2.861.927,64				
1.1.3.1.9.0.0.0.0.0.0002	591	RED	VLR	RECUP	S/PREMIOS	DIRETOS	-	DEDUT	-115.371,84	115.371,84	-258.828,22	-143.456,38	-258.828,22	
1.1.3.1.9.0.0.0.0.0.0003	592	RED	VLR	RECUP	S/PREMIOS	DIRETOS	#NOME?	DED	-1.748.217,50	1.748.217,50	-2.603.099,42	-854.881,92	-2.603.099,42	
														
1.1.3.4	100599	RESSEGURADORAS	5.257.978,99	723.656,84	-3.473.015,41	-2.749.358,57	2.508.620,42							
														
1.1.3.4.1	100606	RESSEGURADORA	-	LOCAL	5.735.364,49	643.743,96	-3.422.674,39	-2.778.930,43	2.956.434,06					
														
1.1.3.4.1.4	120840	SINISTROS	5.735.364,49	643.743,96	-3.422.674,39	-2.778.930,43	2.956.434,06							
1.1.3.4.1.4.2	113415	SINISTROS	PAGOS	5.735.364,49	643.743,96	-3.422.674,39	-2.778.930,43	2.956.434,06						
														
1.1.3.4.2	120842	RESSEGURADORA	ADMITIDA	357.054,46	22.427,06	-2.291,16	20.135,90	377.190,36						
														
1.1.3.4.2.4	120844	SINISTROS	357.054,46	22.427,06	-2.291,16	20.135,90	377.190,36							
1.1.3.4.2.4.2	333	SINISTROS	PAGOS	357.054,46	22.427,06	-2.291,16	20.135,90	377.190,36						
														
1.1.3.4.3	120848	RESSEGURADORA	EVENTUAL	322,93	72	0	72	394,93						
														
1.1.3.4.3.4	120850	SINISTROS	322,93	72	0	72	394,93							
1.1.3.4.3.4.2	330	SINISTROS	PAGOS	322,93	72	0	72	394,93						
														
1.1.3.4.9	120853	REDUCAO	AO	VALOR	RECUPERAVEL	-834.762,89	57.413,82	-48.049,86	9.363,96	-825.398,93				
														
1.1.3.4.9.0	49401	REDUCAO	AO	VALOR	RECUPERAVEL	-834.762,89	57.413,82	-48.049,86	9.363,96	-825.398,93				
														
1.1.3.4.9.0.0	49416	REDUCAO	AO	VALOR	RECUPERAVEL	-834.762,89	57.413,82	-48.049,86	9.363,96	-825.398,93				
														
1.1.3.4.9.0.0.0	49421	REDUCAO	AO	VALOR	RECUPERAVEL	-834.762,89	57.413,82	-48.049,86	9.363,96	-825.398,93				
														
1.1.3.4.9.0.0.0.0	65033	REDUCAO	AO	VALOR	RECUPERAVEL	-834.762,89	57.413,82	-48.049,86	9.363,96	-825.398,93				
														
1.1.3.4.9.0.0.0.0.0	65034	REDUCAO	AO	VALOR	RECUPERAVEL	-834.762,89	57.413,82	-48.049,86	9.363,96	-825.398,93				
1.1.3.4.9.0.0.0.0.0.0002	430	RED	VLR	RECUP	SIN	PAGOS	RESSEG	-	IRB	-557.780,38	38.212,65	-47.804,21	-9.591,56	-567.371,94
1.1.3.4.9.0.0.0.0.0.0003	427	RED	VLR	RECUP	SIN	PAGOS	RESSEG	-	EVEREST	-214.957,91	0	0	0	-214.957,91
1.1.3.4.9.0.0.0.0.0.0004	433	RED	VLR	RECUP	SIN	PAGOS	RESSEG-IRONSHORE	-30.833,63	0	-245,65	-245,65	-31.079,28		
1.1.3.4.9.0.0.0.0.0.0005	435	RED	VLR	RECUP	SIN	PAGOS	RESSEG	-	LIBERTY	-2.044,27	2.044,27	0	2.044,27	0
1.1.3.4.9.0.0.0.0.0.0006	445	RED	VLR	RECUP	SIN	PAGO	RESSEG	-	AUSTRAL	-3.691,05	3.431,38	0	3.431,38	-259,67
1.1.3.4.9.0.0.0.0.0.0007	446	RED	VLR	RECUP	SIN	PAGO	RESSEG	-	TERRA	-4.672,72	857,86	0	857,86	-3.814,86
1.1.3.4.9.0.0.0.0.0.0008	447	RED	VLR	RECUP	SIN	PAGO	RESSEG	-	ATRADIUS	-4.596,60	0	0	0	-4.596,60
1.1.3.4.9.0.0.0.0.0.0009	434	RED	VLR	RECUP	SIN	PAGO	RESSEG	-	MARKEL	-15.861,75	12.867,66	0	12.867,66	-2.994,09
1.1.3.4.9.0.0.0.0.0.0010	451	RED	VLR	RECUP	SIN	PAGO	RESSEG	-	HANNOVER	-324,58	0	0	0	-324,58
														
1.1.3.8	100698	OUTROS	CREDITOS	OPERACIONAIS	57.690,02	2.692.429,10	-2.689.617,14	2.811,96	60.501,98					
														
1.1.3.8.4	45969	CONSORCIO	DPVAT	57.690,02	4.111,92	0	4.111,92	61.801,94						
														
1.1.3.8.4.0	113233	CONSORCIO	DPVAT	57.690,02	4.111,92	0	4.111,92	61.801,94						
														
1.1.3.8.4.0.0	49436	CONSORCIO	DPVAT	57.690,02	4.111,92	0	4.111,92	61.801,94						
														
1.1.3.8.4.0.0.0	49476	CONSORCIO	DPVAT	57.690,02	4.111,92	0	4.111,92	61.801,94						
														
1.1.3.8.4.0.0.0.0	65035	CONSORCIO	DPVAT	57.690,02	4.111,92	0	4.111,92	61.801,94						
														
1.1.3.8.4.0.0.0.0.0	65036	CONSORCIO	DPVAT	57.690,02	4.111,92	0	4.111,92	61.801,94						
1.1.3.8.4.0.0.0.0.0.0002	113842	CONSORCIO	DPVAT	-	RESULTADO	57.690,02	4.111,92	0	4.111,92	61.801,94				
														
1.1.3.8.8	100732	OUTROS	CREDITOS	0	2.688.317,18	-2.689.617,14	-1.299,96	-1.299,96						
														
1.1.3.8.8.0	345	OUTROS	CREDITOS	0	2.688.317,18	-2.689.617,14	-1.299,96	-1.299,96						
														
1.1.3.8.8.0.0	346	OUTROS	CREDITOS	0	2.688.317,18	-2.689.617,14	-1.299,96	-1.299,96						
														
1.1.3.8.8.0.0.0	347	OUTROS	CREDITOS	0	2.688.317,18	-2.689.617,14	-1.299,96	-1.299,96						
														
1.1.3.8.8.0.0.0.0	65037	OUTROS	CREDITOS	0	2.688.317,18	-2.689.617,14	-1.299,96	-1.299,96						
														
1.1.3.8.8.0.0.0.0.0	65038	OUTROS	CREDITOS	0	2.688.317,18	-2.689.617,14	-1.299,96	-1.299,96						
1.1.3.8.8.0.0.0.0.0.0005	113882	CREDITO	DE	SINISTROS	-	ADMINISTRATIVOS	0	2.245.927,67	-2.245.927,67	0	0			
1.1.3.8.8.0.0.0.0.0.0014	113883	CREDITO	DE	SINISTROS	-	JUDICIAIS	0	345.592,17	-345.592,17	0	0			
1.1.3.8.8.0.0.0.0.0.0015	245	CT	-	SALVADOS	0	48.700,00	-48.700,00	0	0					
1.1.3.8.8.0.0.0.0.0.0018	744	RESSARCIMENTO	0	48.097,34	-49.397,30	-1.299,96	-1.299,96							
														
1.1.4	100788	TITULOS	E	CREDITOS	A	RECEBER	5.027.317,91	602.439,31	-353.459,72	248.979,59	5.276.297,50			
														
1.1.4.1	100797	CREDITOS	A	RECEBER	3.440.018,36	25.795,84	-60.149,02	-34.353,18	3.405.665,18					
1.1.4.1.3	126339	DIVI	E	JUROS	S/	CAPITAL	PROP	A	REC	3.216.494,13	0	0	0	3.216.494,13
														
1.1.4.1.8	100804	OUTROS	CREDITOS	A	RECEBER	223.524,23	25.795,84	-60.149,02	-34.353,18	189.171,05				
														
