DATA;NIVEL;TIPO;CONTA;REDUZIDO;DESCRICAO;ANTERIOR;DEBITOS;CREDITOS;MOVIMENTO;SALDO ATUAL
30/07/2020;25;;INVESTPREV SEGURADORA S/A;;Balancete Contábil Analítico;;;01/03/2020;a 31/03/2020;Pág.:         1
30/07/2020;18;;42.366.302/0001-28;;;;;;Emissão:;16/04/2020
30/07/2020;0;;;;;;;;;
30/07/2020;5;;Conta;Reduzido;Descrição;Anterior;Débitos;Créditos;Movimento;Saldo Atual
30/07/2020;25;;=========================;==========;==========================================;===================;==================;==================;===================;=================
30/07/2020;1;Ativo;1;100001;ATIVO;222.323.643,50;180.105.071,41;-182.125.920,21;-2.020.848,80;220.302.794,70
30/07/2020;3;Ativo;1.1;100010;CIRCULANTE;99.764.582,29;130.593.709,21;-130.944.120,99;-350.411,78;99.414.170,51
30/07/2020;5;Ativo;1.1.1;100020;DISPONIVEL;63.655,70;86.282.917,08;-85.764.337,74;518.579,34;582.235,04
30/07/2020;7;Ativo;1.1.1.1;100039;CAIXA;7.586,38;3.905,43;-3.490,26;415,17;8.001,55
30/07/2020;9;Ativo;1.1.1.1.1;103866;CAIXA;2.159,57;840,43;-132,76;707,67;2.867,24
30/07/2020;9;Ativo;1.1.1.1.2;708;CAIXA - SP;5.426,81;3.065,00;-3.357,50;-292,5;5.134,31
30/07/2020;7;Ativo;1.1.1.3;100057;BANCOS CONTA DEPOSITOS;56.069,32;86.279.011,65;-85.760.847,48;518.164,17;574.233,49
30/07/2020;9;Ativo;1.1.1.3.1;100066;BANCOS CONTA DEP MOVIMENTO - PAIS;56.069,32;86.279.011,65;-85.760.847,48;518.164,17;574.233,49
30/07/2020;11;Ativo;1.1.1.3.1.0;19;BANCOS CONTA DEP MOVIMENTO - PAIS;56.069,32;86.279.011,65;-85.760.847,48;518.164,17;574.233,49
30/07/2020;13;Ativo;1.1.1.3.1.0.0;20;BANCOS CONTA DEP MOVIMENTO - PAIS;56.069,32;86.279.011,65;-85.760.847,48;518.164,17;574.233,49
30/07/2020;15;Ativo;1.1.1.3.1.0.0.0;21;BANCOS CONTA DEP MOVIMENTO - PAIS;56.069,32;86.279.011,65;-85.760.847,48;518.164,17;574.233,49
30/07/2020;17;Ativo;1.1.1.3.1.0.0.0.0;65001;BANCOS CONTA DEP MOVIMENTO - PAIS;56.069,32;86.279.011,65;-85.760.847,48;518.164,17;574.233,49
30/07/2020;19;Ativo;1.1.1.3.1.0.0.0.0.0;65002;BANCOS CONTA DEP MOVIMENTO - PAIS;56.069,32;86.279.011,65;-85.760.847,48;518.164,17;574.233,49
30/07/2020;24;Ativo;1.1.1.3.1.0.0.0.0.0.0019;1;BANRISUL AG.0100 C/C.06.318559.0-3;4.646,05;460.914,38;-458.062,14;2.852,24;7.498,29
30/07/2020;24;Ativo;1.1.1.3.1.0.0.0.0.0.0024;646;BANCO MAXIMA ag. 0001 C/C 107091-8;7.144,61;70.796.541,16;-70.802.230,14;-5.688,98;1.455,63
30/07/2020;24;Ativo;1.1.1.3.1.0.0.0.0.0.0026;670;CEF AG. 3152 CTA 003 00002855-0;14,58;3.769,00;-1.369,00;2.400,00;2.414,58
30/07/2020;24;Ativo;1.1.1.3.1.0.0.0.0.0.0027;710;BCO BRADESCO AG 03391 C/C 0022.598-3;43.604,24;14.260.259,83;-13.742.188,75;518.071,08;561.675,32
30/07/2020;24;Ativo;1.1.1.3.1.0.0.0.0.0.0028;711;BCO BRADESCO AG 03391 C/C 0022.599-1;538,64;657.838,18;-657.515,05;323,13;861,77
30/07/2020;24;Ativo;1.1.1.3.1.0.0.0.0.0.0029;712;BCO BRADESCO AG 03391 C/C 0322750-2;121,2;99.689,10;-99.482,40;206,7;327,9
30/07/2020;5;Ativo;1.1.2;100093;APLICACOES;41.785.755,66;20.064.584,22;-20.002.884,23;61.699,99;41.847.455,65
30/07/2020;7;Ativo;1.1.2.6;111640;QUOTAS DE FUNDOS DE INVESTIMENTOS;41.223.553,84;20.062.734,32;-20.000.000,00;62.734,32;41.286.288,16
30/07/2020;9;Ativo;1.1.2.6.2;125401;NAO VINCULADOS A COBERT DE RESERVAS;41.223.553,84;20.062.734,32;-20.000.000,00;62.734,32;41.286.288,16
30/07/2020;11;Ativo;1.1.2.6.2.2;659;QUOTAS DE OUTROS FUNDOS DE INVESTIMENTO;41.223.553,84;20.062.734,32;-20.000.000,00;62.734,32;41.286.288,16
30/07/2020;13;Ativo;1.1.2.6.2.2.1;660;VALOR ORIGINAL;37.800.000,00;20.000.000,00;-20.000.000,00;0;37.800.000,00
30/07/2020;15;Ativo;1.1.2.6.2.2.1.0;661;VALOR ORIGINAL;37.800.000,00;20.000.000,00;-20.000.000,00;0;37.800.000,00
30/07/2020;17;Ativo;1.1.2.6.2.2.1.0.0;662;VALOR ORIGINAL;37.800.000,00;20.000.000,00;-20.000.000,00;0;37.800.000,00
30/07/2020;19;Ativo;1.1.2.6.2.2.1.0.0.0;663;VALOR ORIGINAL;37.800.000,00;20.000.000,00;-20.000.000,00;0;37.800.000,00
30/07/2020;24;Ativo;1.1.2.6.2.2.1.0.0.0.0001;664;ARES FUNDO INVEST MULTIMERCADO;37.800.000,00;20.000.000,00;-20.000.000,00;0;37.800.000,00
30/07/2020;13;Ativo;1.1.2.6.2.2.2;665;AJUSTE AO VALOR DE MERCADO;3.423.553,84;62.734,32;0;62.734,32;3.486.288,16
30/07/2020;15;Ativo;1.1.2.6.2.2.2.0;666;AJUSTE AO VALOR DE MERCADO;3.423.553,84;62.734,32;0;62.734,32;3.486.288,16
30/07/2020;17;Ativo;1.1.2.6.2.2.2.0.0;667;AJUSTE AO VALOR DE MERCADO;3.423.553,84;62.734,32;0;62.734,32;3.486.288,16
30/07/2020;19;Ativo;1.1.2.6.2.2.2.0.0.0;668;AJUSTE AO VALOR DE MERCADO;3.423.553,84;62.734,32;0;62.734,32;3.486.288,16
